2016-06-01 17:19:10,746 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProjectRecommendationEngine:ProjectRecommendationEngine:0.0.1-SNAPSHOT @ /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/pom.xml.
2016-06-01 17:19:13,268 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:19:13,271 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/src/main/resources
2016-06-01 17:19:13,274 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:19:13,275 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/src/test/resources
2016-06-01 17:19:13,317 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProjectRecommendationEngine/src
2016-06-01 17:19:13,323 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ProjectRecommendationEngine/src/test/java because it overlaps with /ProjectRecommendationEngine/src
2016-06-01 17:19:13,797 [Worker-31] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-06-01 17:19:14,384 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProjectRecommendationEngine:ProjectRecommendationEngine:0.0.1-SNAPSHOT @ /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/pom.xml.
2016-06-01 17:19:15,142 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProjectRecommendationEngine/src
2016-06-01 17:19:15,142 [Worker-31] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ProjectRecommendationEngine/src/test/java because it overlaps with /ProjectRecommendationEngine/src
2016-06-01 17:19:15,421 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProjectRecommendationEngine
2016-06-01 17:19:15,472 [Worker-31] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-06-01 17:19:15,842 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:19:15,844 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/src/main/resources
2016-06-01 17:19:15,847 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:19:15,847 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/src/test/resources
2016-06-01 17:19:15,847 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProjectRecommendationEngine
2016-06-01 17:19:15,848 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProjectRecommendationEngine
2016-06-01 17:19:15,950 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:22:42,784 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProjectRecommendationEngine:ProjectRecommendationEngine:0.0.1-SNAPSHOT @ /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/pom.xml.
2016-06-01 17:22:48,476 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:22:48,476 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/src/main/resources
2016-06-01 17:22:48,478 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:22:48,479 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/src/test/resources
2016-06-01 17:22:48,479 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProjectRecommendationEngine
2016-06-01 17:22:48,479 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProjectRecommendationEngine
2016-06-01 17:22:48,484 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:23:17,122 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:23:17,123 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/src/main/resources
2016-06-01 17:23:17,125 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:23:17,125 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/src/test/resources
2016-06-01 17:23:57,730 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-06-01 17:23:58,126 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProjectRecommendationEngine:ProjectRecommendationEngine:0.0.1-SNAPSHOT @ /home/devdatta/FinalMovieRecommendation/ProjectRecommendationEngine/pom.xml.
2016-06-01 17:24:00,713 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProjectRecommendationEngine/src
2016-06-01 17:24:00,714 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ProjectRecommendationEngine/src/test/java because it overlaps with /ProjectRecommendationEngine/src
2016-06-01 17:24:02,377 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProjectRecommendationEngine
2016-06-01 17:24:02,380 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
